Events number,p1x,p1y,p1z,p2x,p2y,p2z
450,-25.72374001,5.551310504,-10.86749614,27.34407709,-5.667201751,14.22647879
451,-7.921777939,26.43871423,-5.232743903,8.945095396,-30.60688233,5.114504748
452,6.055982779,31.54649895,-2.430441329,-5.715562906,-32.82329948,2.608134164
453,7.077350984,21.16006768,-19.14097681,-8.514579744,-20.84437746,20.4725244
454,25.94330052,6.176929169,-3.180899932,-32.79358099,-6.310578769,3.478215251
455,18.38914948,14.35457899,-21.9440358,-21.66244124,-13.79343264,19.62362034
456,28.97984962,0.092178614,-4.379962882,-32.11283923,-0.118604369,4.660832106
457,-7.433874101,17.30941777,-25.08310807,7.920667574,-21.09989015,22.1624108
458,16.04778372,22.60364259,-11.31882614,-11.11856282,-26.37456,10.11547806
459,7.551545662,17.38079393,21.65928001,-6.663498191,-17.45262278,-22.45260116
460,5.926712517,30.09362684,8.25518644,-5.359888238,-27.0406324,-8.334300019
461,-29.52178197,1.136059712,-16.61112096,24.76453604,-1.091785415,19.19261989
462,-5.183659454,17.66656362,-25.36893877,5.752548265,-15.65799619,23.44401643
463,6.99547985,17.1913547,22.49412178,-6.749504065,-19.46833007,-22.46079037
464,-16.6454967,13.00263532,-22.57680338,15.05659354,-11.66371234,27.29832861
465,9.398649326,15.1436072,26.00627338,-10.91551193,-15.69799777,-25.34503175
466,-24.66824357,2.122373515,-24.87514663,20.7458884,-2.511360142,22.45537323
467,-24.35634465,20.78228574,-1.387377243,22.91443956,-21.11655141,1.80765381
468,3.974002716,28.60259225,15.1419585,-3.792693287,-31.09270883,-16.61647055
469,-12.28797495,21.4151113,-16.93019282,14.27273024,-22.20132943,20.17228761
470,-24.35480473,9.410695967,-16.87111734,25.69727238,-8.95971738,16.3973573
471,-10.27467493,31.54674673,-8.466395976,10.75120275,-28.18486359,8.718370309
472,11.27297211,37.01057364,-4.922460735,-12.04643358,-29.01417099,5.273117307
473,-21.53428946,7.548447944,20.2425344,27.59004367,-6.805253742,-24.14107457
474,-22.22266944,15.14402071,-14.44250939,23.34610438,-18.23414346,15.63134094
475,-9.245935634,29.16613331,-0.347843908,10.65366568,-29.24333929,0.335432058
476,-17.20354036,17.83096127,-21.78789977,17.39195302,-18.6333486,21.26882774
477,-19.87759294,0.502836895,-25.89973904,17.93287624,-0.477343472,24.45668775
478,17.76523506,12.21837264,-25.28875465,-14.12389906,-12.49527702,25.41261035
479,-2.279257018,13.75252165,-30.2147016,2.760486998,-14.70075796,32.67698848
480,-14.85765577,20.56337562,-18.56394766,17.21263853,-20.99305343,17.65215376
481,-24.36665115,21.66702489,-5.97622625,25.63140896,-22.19510595,5.878839845
482,-20.09222751,11.23221048,-23.33925223,18.52602174,-14.43344065,28.92038941
483,-11.48495195,13.75288342,-27.51836768,11.52137606,-13.99621156,29.68527337
484,4.309458665,31.50156301,-6.301179584,-4.326398145,-31.24500123,6.400138128
485,-3.994055812,31.1118762,-2.67151669,4.747101294,-33.93323325,2.105875284
